id,parameter
SFT-BMS-016,KuPWRCTL_CutDwnPwrMinCellVolt_mV
SFT-BMS-016,LsPWRCTL_BMUMaxTemp_deg
SFT-BMS-016,LsPWRCTL_BMUMaxTemp_deg
SFT-BMS-016,KsPWRCTL_ChgMaxT_deg
SFT-BMS-016,LsPWRCTL_BMUMaxTemp_deg
SFT-BMS-016,KsPWRCTL_DisChgMaxT_deg
SFT-BMS-017,LsPWRCTL_BMUMinTemp_deg
SFT-BMS-017,LsPWRCTL_BMUMinTemp_deg
SFT-BMS-017,LsPWRCTL_BMUMaxTemp_deg
SFT-BMS-017,VePWRCTL_CutPwrPercent_enum
SFT-BMS-017,LsPWRCTL_BMUMinTemp_deg
SFT-BMS-017,LsPWRCTL_BMUMaxTemp_deg
SFT-BMS-017,LsPWRCTL_BattSOC_pct
SFT-BMS-017,LfPWRCTL_SOH_pct
SFT-BMS-017,LfPWRCTL_BMSSysI_A
SFT-BMS-017,VlPWRCTL_DchgP_W
SFT-BMS-017,LuPWRCTL_SysMinVol_mV
SFT-BMS-017,LuPWRCTL_SysMinVol_Mv
SFT-BMS-017,KuPWRCTL_CutDwnPwrMinCellVolt_mV
SFT-BMS-017,LsPWRCTL_BMUMaxTemp_deg
SFT-BMS-017,LsPWRCTL_BMUMaxTemp_deg
SFT-BMS-017,KsPWRCTL_ChgMaxT_deg
SFT-BMS-017,LsPWRCTL_BMUMaxTemp_deg
SFT-BMS-017,KsPWRCTL_DisChgMaxT_deg
SFT-BMS-018,LsPWRCTL_BMUMinTemp_deg
SFT-BMS-018,LsPWRCTL_BMUMinTemp_deg
SFT-BMS-018,LsPWRCTL_BMUMaxTemp_deg
SFT-BMS-018,VePWRCTL_CutPwrPercent_enum
SFT-BMS-018,LsPWRCTL_BMUMinTemp_deg
SFT-BMS-018,LsPWRCTL_BMUMaxTemp_deg
SFT-BMS-018,LsPWRCTL_BattSOC_pct
SFT-BMS-018,LfPWRCTL_SOH_pct
SFT-BMS-018,LfPWRCTL_BMSSysI_A
SFT-BMS-018,VlPWRCTL_DchgP_W
SFT-BMS-018,LuPWRCTL_SysMinVol_mV
SFT-BMS-018,LuPWRCTL_SysMinVol_Mv
SFT-BMS-018,KuPWRCTL_CutDwnPwrMinCellVolt_mV
SFT-BMS-018,LsPWRCTL_BMUMaxTemp_deg
SFT-BMS-018,LsPWRCTL_BMUMaxTemp_deg
SFT-BMS-018,KsPWRCTL_ChgMaxT_deg
SFT-BMS-018,LsPWRCTL_BMUMaxTemp_deg
SFT-BMS-018,KsPWRCTL_DisChgMaxT_deg
SFT-BMS-019,LsPWRCTL_BMUMinTemp_deg
SFT-BMS-019,LsPWRCTL_BMUMinTemp_deg
SFT-BMS-019,LsPWRCTL_BMUMaxTemp_deg
SFT-BMS-019,VePWRCTL_CutPwrPercent_enum
SFT-BMS-019,LsPWRCTL_BMUMinTemp_deg
SFT-BMS-019,LsPWRCTL_BMUMaxTemp_deg
SFT-BMS-019,LsPWRCTL_BattSOC_pct
SFT-BMS-019,KbPWRCTL_BattSOCCal_flg
SFT-BMS-019,KfPWRCTL_BattSOCCal_pct
SFT-BMS-019,LsPWRCTL_BattSOC_pct
SFT-BMS-019,LfPWRCTL_BMSSysI_A
SFT-BMS-019,VlPWRCTL_DchgP_W
SFT-BMS-019,LuPWRCTL_SysMinVol_mV
SFT-BMS-019,LuPWRCTL_SysMinVol_Mv
SFT-BMS-019,KuPWRCTL_CutDwnPwrMinCellVolt_mV
SFT-BMS-019,LsPWRCTL_BMUMaxTemp_deg
SFT-BMS-019,LsPWRCTL_BMUMaxTemp_deg
SFT-BMS-019,KsPWRCTL_ChgMaxT_deg
SFT-BMS-019,LsPWRCTL_BMUMaxTemp_deg
SFT-BMS-019,KsPWRCTL_DisChgMaxT_deg
SFT-BMS-020,LsPWRCTL_BMUMinTemp_deg
SFT-BMS-020,LsPWRCTL_BMUMinTemp_deg
SFT-BMS-020,LsPWRCTL_BMUMaxTemp_deg
SFT-BMS-020,VePWRCTL_CutPwrPercent_enum
SFT-BMS-020,LsPWRCTL_BMUMinTemp_deg
SFT-BMS-020,LsPWRCTL_BMUMaxTemp_deg
SFT-BMS-020,LsPWRCTL_BattSOC_pct
SFT-BMS-020,KbPWRCTL_BattSOCCal_flg
SFT-BMS-020,KfPWRCTL_BattSOCCal_pct
SFT-BMS-020,LsPWRCTL_BattSOC_pct
SFT-BMS-020,LfPWRCTL_BMSSysI_A
SFT-BMS-020,VlPWRCTL_DchgP_W
SFT-BMS-020,LuPWRCTL_SysMinVol_mV
SFT-BMS-020,LuPWRCTL_SysMinVol_Mv
SFT-BMS-020,KuPWRCTL_CutDwnPwrMinCellVolt_mV
SFT-BMS-020,LsPWRCTL_BMUMaxTemp_deg
SFT-BMS-020,LsPWRCTL_BMUMaxTemp_deg
SFT-BMS-020,KsPWRCTL_ChgMaxT_deg
SFT-BMS-020,LsPWRCTL_BMUMaxTemp_deg
SFT-BMS-020,KsPWRCTL_DisChgMaxT_deg
SFT-BMS-021,LsPWRCTL_BMUMinTemp_deg
SFT-BMS-021,LsPWRCTL_BMUMinTemp_deg
SFT-BMS-021,LsPWRCTL_BMUMaxTemp_deg
SFT-BMS-021,VePWRCTL_CutPwrPercent_enum
SFT-BMS-021,LsPWRCTL_BMUMinTemp_deg
SFT-BMS-021,LsPWRCTL_BMUMaxTemp_deg
SFT-BMS-021,LsPWRCTL_BattSOC_pct
SFT-BMS-021,KbPWRCTL_BattSOCCal_flg
SFT-BMS-021,KfPWRCTL_BattSOCCal_pct
SFT-BMS-021,LsPWRCTL_BattSOC_pct
SFT-BMS-021,LfPWRCTL_BMSSysI_A
SFT-BMS-021,VlPWRCTL_DchgP_W
SFT-BMS-021,LuPWRCTL_SysMinVol_mV
SFT-BMS-021,LuPWRCTL_SysMinVol_Mv
SFT-BMS-021,KuPWRCTL_CutDwnPwrMinCellVolt_mV
SFT-BMS-021,LsPWRCTL_BMUMaxTemp_deg
SFT-BMS-021,LsPWRCTL_BMUMaxTemp_deg
SFT-BMS-021,KsPWRCTL_ChgMaxT_deg
SFT-BMS-021,LsPWRCTL_BMUMaxTemp_deg
SFT-BMS-021,KsPWRCTL_DisChgMaxT_deg
SFT-BMS-022,LsPWRCTL_BMUMinTemp_deg
SFT-BMS-022,LsPWRCTL_BMUMinTemp_deg
SFT-BMS-022,LsPWRCTL_BMUMaxTemp_deg
SFT-BMS-022,VePWRCTL_CutPwrPercent_enum
SFT-BMS-022,LsPWRCTL_BMUMinTemp_deg
SFT-BMS-022,LsPWRCTL_BMUMaxTemp_deg
SFT-BMS-022,LsPWRCTL_BattSOC_pct
SFT-BMS-022,KbPWRCTL_BattSOCCal_flg
SFT-BMS-022,KfPWRCTL_BattSOCCal_pct
SFT-BMS-022,LsPWRCTL_BattSOC_pct
SFT-BMS-022,LfPWRCTL_BMSSysI_A
